,name,urlid,overall,capHit,pos,SPD,STR,AGI,ACC,AWR,CTH,JMP,STA,INJ,TAK,POW,PWM,FNM,BKS,PUR,PRC,MCV,ZCV,PRS,KPW,KAC,KR,TRK,ELU,BCV,SFA,SPM,JKM,CAR,RTE,CIT,SPC,RLS,THP,TAS,TAM,TAD,TOR,PAC,RBK,PBK,IMP,fights_for_extra_yards,possession_catches,aggressive_catches,rac_catches,sideline_catches,big_hitter,strips_ball,plays_ball_in_air,canAuction
889,Everson Griffen,24190,90,35,RE,81,83,78,84,90,58,70,80,84,90,87,92,84,83,87,90,54,58,51,46,46,43,50,59,53,56,58,53,57,46,48,51,51,47,42,43,42,45,43,63,63,90,,,,,,No,No,,True
890,DeMarcus Lawrence,23110,90,34,LE,78,78,81,85,89,50,82,84,84,87,85,91,84,89,90,89,64,70,60,39,39,34,55,39,46,52,46,49,56,37,50,50,42,43,34,35,34,37,35,56,56,87,,,,,,No,No,,True
891,Chris Harris Jr,1018011008,90,40,CB,87,46,89,86,91,81,85,86,84,72,74,58,58,72,82,91,91,90,90,53,53,77,50,80,71,58,74,75,74,58,66,63,58,58,44,44,44,46,44,65,65,70,,,,,,No,Yes,Aggressive,True
892,Rodney Harrison,21123,90,39,SS,86,78,85,89,90,60,78,90,91,87,89,68,70,79,90,90,76,89,71,20,20,52,68,63,61,82,56,68,58,15,57,55,20,30,20,20,15,15,15,45,45,89,,,,,,Yes,Yes,Balanced,False
893,Philip Rivers,24317,89,40,QB,61,60,57,62,93,50,43,88,91,50,42,41,41,47,54,49,43,51,41,44,42,44,50,55,62,56,63,66,68,41,41,42,44,87,90,87,85,83,91,43,42,45,,,,,,,,,True
894,Darian Stewart,24374,89,36,SS,84,66,87,86,91,72,84,83,86,80,91,68,57,74,88,91,79,87,78,32,34,40,57,51,57,44,62,63,65,30,54,54,40,34,27,28,27,29,28,51,51,79,,,,,,Yes,No,Balanced,True
895,Jonathan Stewart,24369,89,44,HB,85,80,87,91,89,66,87,85,77,32,28,20,20,21,41,28,24,28,28,31,31,62,92,85,85,89,79,86,88,68,70,62,69,35,40,39,29,29,28,40,70,46,Yes,No,No,No,No,,,,True
896,Anthony Sherman,28526,89,31,FB,79,83,72,86,86,79,65,85,89,75,45,36,36,64,74,45,37,38,45,42,42,40,80,66,76,84,78,76,83,75,82,79,86,52,44,41,37,40,37,76,78,86,No,No,No,No,No,,,,True
897,Nate Solder,26006,89,32,LT,71,88,73,81,90,69,66,86,84,50,38,29,29,38,37,29,30,30,29,37,37,29,49,38,49,59,42,46,66,49,65,49,56,33,28,29,28,31,29,85,88,89,,,,,,,,,True
898,Zack Martin,1018012348,89,31,RG,66,87,61,77,89,41,67,84,89,38,32,24,24,37,53,40,23,25,24,23,26,24,35,24,24,24,24,24,47,27,27,27,31,39,23,24,23,26,24,88,86,89,,,,,,,,,True
899,Mean Joe Greene,21162,89,33,DT,73,89,71,82,88,55,72,88,85,88,88,87,65,89,83,88,33,39,33,20,20,20,76,44,73,89,52,56,51,15,53,45,15,20,20,20,15,15,15,45,45,90,,,,,,Yes,No,,True
900,Lavonte David,27008,89,28,ROLB,85,70,85,88,90,79,86,91,91,90,88,71,76,76,90,90,78,86,68,37,35,34,44,43,50,53,43,50,67,37,45,45,46,37,33,34,33,36,34,56,56,88,,,,,,Yes,Yes,Balanced,True
901,Vontaze Burfict,1303011569,89,31,ROLB,74,74,70,78,91,76,75,85,89,90,90,85,73,91,91,91,79,85,66,46,45,45,68,61,67,71,66,69,74,45,61,63,53,52,45,46,45,47,46,65,65,91,,,,,,Yes,No,Aggressive,False
902,Jarvis Landry,1303012339,89,40,WR,86,61,87,86,86,90,81,84,83,60,38,37,37,59,64,48,37,40,37,41,41,89,76,86,87,73,85,86,81,91,86,86,84,51,42,40,37,42,37,66,56,68,Yes,No,Yes,Yes,Yes,,,,False
903,Casey Hayward,1303011577,89,34,CB,84,58,83,84,89,86,81,87,80,73,69,59,64,73,85,89,87,90,89,50,51,57,51,77,81,53,76,80,69,45,57,61,46,53,41,42,41,43,42,63,63,69,,,,,,No,No,Aggressive,False
904,Patrick DiMarco,1303011866,89,29,FB,69,69,68,79,90,78,68,78,85,71,64,63,64,64,71,57,55,57,57,57,58,72,84,80,82,83,84,83,84,76,77,72,76,63,59,57,54,57,55,83,77,90,Yes,No,No,No,No,,,,False
905,Marcus Gilbert,28505,89,32,RT,57,90,66,76,88,48,41,81,89,58,49,36,36,50,49,43,39,49,36,37,36,36,36,43,36,36,36,36,50,39,39,39,43,32,35,36,35,37,36,86,89,87,,,,,,,,,True
906,Shaq Thompson,27602,89,27,LOLB,84,73,85,85,87,76,82,87,89,87,85,74,80,88,88,87,80,86,68,30,30,21,69,77,76,68,74,80,71,40,68,50,45,34,20,21,20,24,21,50,53,85,,,,,,No,No,Balanced,True
907,Mel Renfro,21538,89,37,CB,88,61,87,85,94,76,88,89,88,65,73,48,63,62,86,94,85,91,83,20,20,93,53,91,83,54,88,91,79,40,59,74,43,20,20,20,15,15,15,45,45,59,,,,,,Yes,Yes,Aggressive,True
908,Jason Peters,26029,89,33,LT,67,92,63,73,89,65,62,83,83,55,35,25,25,49,46,35,30,26,25,27,21,25,25,30,25,25,25,25,49,25,25,26,29,25,24,25,24,27,25,83,90,85,,,,,,,,,True
909,Joe Berger,28554,89,33,RG,62,89,64,74,88,36,28,80,87,35,23,13,13,31,37,28,14,22,13,19,15,13,13,22,13,13,13,13,43,18,18,18,22,33,12,13,12,16,13,85,90,89,,,,,,,,,True
910,Rod Woodson,21077,89,36,CB,87,71,89,89,87,77,88,90,90,83,81,56,66,72,87,87,87,87,78,35,35,89,66,85,88,68,82,85,67,45,65,69,45,45,15,15,15,15,15,45,45,75,,,,,,Yes,No,Balanced,True
911,Stefon Diggs,24081,89,39,WR,88,60,90,90,85,85,82,84,80,47,37,37,37,51,51,42,39,45,39,49,49,84,55,86,85,65,87,89,76,87,85,87,85,51,41,39,36,41,37,70,56,62,No,No,Yes,Yes,Yes,,,,True
912,Jalen Ramsey,24086,89,41,CB,90,65,85,90,83,72,89,86,82,76,82,53,55,71,86,83,87,86,86,36,35,78,52,76,73,54,70,76,73,44,58,58,45,42,50,44,41,46,38,45,37,67,,,,,,Yes,Yes,Aggressive,True
913,Joey Bosa,1303017537,89,35,LE,76,79,81,83,84,68,75,76,83,83,86,89,92,88,90,84,61,66,54,54,51,45,60,57,61,63,56,58,63,47,56,60,51,56,45,46,45,47,46,59,53,89,,,,,,No,Yes,,False
914,Larry Fitzgerald,1303017315,89,42,WR,81,69,81,84,89,89,89,90,87,43,28,27,27,48,50,42,33,30,27,33,33,38,68,67,83,77,77,78,72,88,92,88,88,38,33,31,26,33,27,71,49,67,Yes,Yes,Yes,Yes,Yes,,,,False
915,Jack Conklin,1303017663,89,31,RT,69,81,59,78,88,51,60,79,85,57,50,44,44,52,54,47,43,44,42,46,47,41,50,44,43,44,43,43,55,44,44,44,48,48,40,41,40,43,41,88,89,88,,,,,,,,,False
916,Michael Thomas,1303017552,89,40,WR,84,66,86,87,87,89,85,80,83,48,40,37,37,45,42,41,41,41,41,46,45,47,60,83,85,85,80,86,77,86,87,87,86,46,41,39,35,41,36,73,57,60,Yes,Yes,Yes,Yes,Yes,,,,False
917,Drew Brees,1303014118,89,40,QB,63,48,58,68,91,56,47,87,90,47,39,39,39,47,46,51,42,44,39,44,53,40,45,53,63,47,54,73,69,42,42,42,44,85,91,89,85,83,90,47,46,47,,,,,,,,,False
918,DeMarcus Ware,21183,89,36,ROLB,82,86,83,86,90,62,82,89,86,90,90,89,83,88,91,90,64,73,63,20,20,15,56,30,32,58,52,68,65,15,49,55,35,20,15,15,15,15,15,45,45,89,,,,,,No,Yes,Conservative,True
919,Jahleel Addae,23124,89,34,SS,83,58,83,87,90,79,88,86,90,84,87,65,75,76,89,90,81,88,78,38,48,65,66,67,70,58,64,70,73,42,63,66,45,45,41,38,38,43,42,58,58,78,,,,,,No,No,Balanced,True
920,Aaron Rodgers,1018026668,89,40,QB,73,54,73,75,87,47,53,90,88,26,21,19,19,26,30,30,21,26,19,23,25,19,34,60,68,30,55,54,62,23,23,23,27,88,85,86,86,88,82,25,21,25,,,,,,,,,True
921,Richard Sherman,1018010811,89,39,CB,83,69,89,84,88,84,90,90,88,73,75,51,64,67,84,88,85,90,89,37,35,62,62,77,85,61,77,79,72,54,71,81,63,37,34,35,34,37,35,59,59,66,,,,,,No,Yes,Aggressive,True
922,Alvin Kamara,23139,89,46,HB,90,70,91,93,79,82,91,86,87,42,41,31,32,39,42,34,34,37,34,35,34,76,75,87,82,75,86,88,86,84,80,80,72,44,43,42,38,46,40,46,55,50,Yes,No,No,No,No,,,,True
923,Mike Evans,1018010857,89,43,WR,82,76,80,85,88,85,88,83,83,49,31,28,28,46,39,31,35,31,35,39,38,57,80,78,84,83,77,82,76,85,89,90,91,46,42,38,34,36,30,70,54,64,Yes,Yes,Yes,No,Yes,,,,True
924,Ezekiel Ansah,19906,89,33,RE,82,82,78,86,88,62,82,84,88,86,88,89,84,81,89,88,62,69,68,63,62,46,64,62,62,64,72,58,69,49,58,60,54,57,45,46,45,48,46,64,64,88,,,,,,Yes,Yes,,False
925,Jordan Hicks,1303002563,89,28,MLB,79,74,81,85,90,75,83,81,73,87,84,76,69,76,86,90,85,89,69,35,42,33,56,53,60,53,50,57,71,33,43,46,46,44,32,33,32,35,33,57,57,82,,,,,,No,No,Aggressive,False
926,Yannick Ngakoue,24296,89,33,LE,81,81,83,85,85,56,80,82,87,88,82,85,91,85,87,85,50,54,45,40,39,32,43,46,46,47,42,44,56,35,45,46,40,41,32,33,32,36,33,46,40,83,,,,,,No,Yes,,True
927,Cameron Jordan,1018010697,89,32,RE,73,85,72,80,88,54,63,82,87,88,85,89,79,89,88,88,49,63,49,57,54,42,42,50,52,51,51,54,60,45,45,45,50,54,42,42,42,44,42,63,63,89,,,,,,No,Yes,,True
928,Justin Houston,1018010703,89,32,LOLB,78,79,78,81,88,72,71,82,80,89,88,89,88,86,88,88,76,81,64,69,61,58,70,60,58,58,64,64,70,60,60,62,65,68,58,59,58,60,59,71,71,87,,,,,,No,Yes,Conservative,True
929,Steve Atwater,27539,89,49,WR,87,79,85,91,85,86,87,92,91,89,92,58,65,74,92,85,79,87,78,15,15,68,68,76,74,78,84,88,66,83,88,84,93,15,10,10,10,10,10,78,53,90,No,No,No,No,No,,,,True
930,Marcus Mariota,27575,89,37,QB,86,58,88,88,84,62,88,92,88,41,32,30,30,39,44,43,30,39,30,47,45,35,56,78,80,59,79,79,61,46,39,43,41,83,83,81,81,87,82,37,37,37,,,,,,,,,False
931,Adrian Peterson,27580,89,41,HB,87,84,89,88,89,69,86,91,79,54,34,30,30,47,50,42,32,32,34,41,42,59,90,81,87,89,82,86,82,71,68,59,71,47,50,47,39,39,37,55,75,49,Yes,No,No,No,No,,,,False
932,Jerome Bettis,21195,89,44,HB,85,90,79,89,93,67,75,91,89,56,56,25,25,30,30,20,30,25,10,20,20,22,92,81,92,91,80,85,92,64,63,47,66,58,55,52,33,62,41,62,76,65,Yes,No,No,No,No,,,,True
933,Paul Krause,21204,89,43,FS,86,68,84,88,92,88,79,90,91,69,77,62,64,66,82,92,80,90,73,25,25,25,66,72,70,48,71,74,70,35,82,82,25,25,25,25,20,20,20,45,45,64,,,,,,Yes,No,Aggressive,True
934,Cam Newton,25005,89,42,QB,82,76,82,85,80,70,84,90,91,58,45,40,40,55,62,48,40,50,40,47,46,44,78,78,82,78,80,80,78,46,52,59,50,92,80,80,75,90,80,54,52,52,,,,,,,,,True
935,Byron Maxwell,25004,89,36,CB,85,72,85,85,88,78,84,84,82,70,76,65,55,63,83,88,87,90,88,37,37,67,41,49,68,41,63,70,68,44,51,55,48,49,29,30,29,32,30,56,56,69,,,,,,No,Yes,Aggressive,True
936,Davante Adams,24133,89,40,WR,86,64,88,91,84,87,90,86,89,57,41,40,40,60,56,47,43,46,47,47,49,59,70,77,79,69,79,82,73,86,87,85,85,49,43,41,40,43,40,60,56,60,Yes,Yes,No,Yes,Yes,,,,True
937,Tyrod Taylor,27311,89,38,QB,87,57,91,89,84,65,85,89,85,49,32,32,32,40,46,37,36,40,34,36,35,34,53,78,78,67,80,84,72,46,56,55,47,83,83,81,81,85,78,40,38,46,,,,,,,,,True
938,Tyreek Hill,27312,89,50,WR,94,63,92,94,83,84,90,86,86,48,44,35,35,41,49,44,35,40,46,37,37,92,61,88,89,56,83,90,77,84,81,83,83,49,40,37,35,40,36,57,53,56,Yes,No,No,Yes,No,,,,True
939,Mohamed Sanu Sr,28582,89,39,WR,88,75,87,89,86,88,88,88,88,55,30,27,27,59,57,46,46,54,30,61,53,77,74,74,81,81,75,75,75,83,85,87,84,81,64,67,75,62,46,69,59,68,Yes,No,Yes,Yes,Yes,,,,True
940,T.J. Watt,29518,89,37,ROLB,84,82,85,87,83,68,89,88,89,89,89,81,91,86,92,83,76,82,61,30,26,20,50,41,49,44,40,46,57,31,63,65,33,32,23,24,23,26,24,46,46,81,,,,,,No,No,Balanced,True
941,Steve Atwater,21086,89,39,FS,85,76,83,89,85,65,85,89,88,87,89,55,62,71,89,85,78,86,76,15,15,61,50,59,65,55,61,72,65,20,63,59,15,15,10,10,10,10,10,45,45,87,,,,,,Yes,Yes,Balanced,True
942,Brandin Cooks,25010,89,42,WR,91,50,91,89,86,87,84,87,87,46,38,35,35,48,49,43,39,44,35,41,40,84,56,88,86,58,86,87,72,86,85,86,84,49,39,37,35,39,36,68,50,55,No,No,No,Yes,Yes,,,,True
943,Tony Jefferson,1303009879,89,34,FS,79,60,77,83,91,78,78,82,75,86,88,71,73,80,91,91,81,86,81,59,54,65,68,75,81,71,82,81,73,55,67,67,61,57,49,50,49,52,50,68,68,79,,,,,,Yes,Yes,Balanced,False
944,DeMarco Murray,1303010590,89,39,HB,85,79,86,86,89,74,81,80,79,54,50,34,34,50,50,45,35,35,36,43,44,67,87,79,89,88,87,89,84,74,77,76,78,50,65,64,54,57,47,56,76,55,Yes,No,No,No,Yes,,,,False
945,Deion Sanders,26525,89,45,CB,91,52,93,93,88,79,91,90,90,51,54,30,36,43,79,88,93,89,70,25,10,92,26,92,89,38,91,92,57,55,60,77,40,55,10,10,10,10,10,45,45,48,,,,,,No,No,Aggressive,False
946,Eric Kendricks,24400,89,29,MLB,84,73,81,89,88,79,87,88,81,90,86,69,74,78,88,88,80,86,69,44,41,39,58,57,50,52,53,57,70,42,65,65,50,47,38,39,38,41,39,59,59,85,,,,,,Yes,No,Balanced,True
947,Kyle Fuller,24348,89,39,CB,90,55,88,91,86,80,90,90,86,75,77,66,76,72,86,86,82,89,88,39,39,59,51,63,69,52,69,70,71,39,73,70,55,51,33,33,33,35,33,55,55,66,,,,,,No,Yes,Aggressive,True
948,Christian McCaffrey,28575,89,48,HB,91,72,95,94,81,80,89,81,84,48,41,33,33,44,49,42,34,36,36,43,40,80,63,87,85,75,84,88,84,82,80,80,80,49,48,47,44,54,43,54,66,59,Yes,No,No,No,Yes,,,,True
949,Dominique Rodgers-Cromartie,1018028388,89,37,CB,87,40,86,85,90,84,89,83,78,65,68,59,65,68,81,90,91,86,83,54,54,82,58,85,85,58,89,87,76,65,71,87,70,63,46,46,46,48,46,65,65,67,,,,,,No,Yes,Aggressive,True
950,A.J. Green,1018010614,89,43,WR,85,63,88,84,85,87,89,87,83,45,30,28,28,48,48,38,37,41,30,34,30,68,68,82,83,70,81,81,75,87,87,88,87,48,37,34,33,36,28,67,40,52,No,Yes,Yes,Yes,Yes,,,,True
951,James Develin,1018010446,89,29,FB,64,81,63,74,89,80,58,69,84,79,82,57,57,57,81,59,55,57,55,62,62,64,87,68,73,84,71,75,86,72,74,68,70,64,54,55,54,56,55,83,81,90,Yes,No,No,No,No,,,,True
952,Andrew Whitworth,1018027243,89,32,LT,58,87,55,69,90,42,47,81,82,51,35,40,40,51,54,33,35,35,33,40,45,35,54,39,33,33,33,33,54,33,33,35,36,50,32,33,32,35,33,84,90,89,,,,,,,,,True
953,Barry Sanders,26522,89,52,HB,90,70,93,92,88,72,85,90,90,46,35,35,22,30,35,35,35,36,15,35,35,74,71,91,88,81,92,91,88,72,71,65,68,40,15,15,15,15,15,57,68,47,No,No,No,No,No,,,,False
954,Tom Brady,26521,89,47,QB,61,63,63,64,89,61,41,90,90,52,41,40,40,53,52,46,41,45,40,45,44,40,45,62,62,48,54,64,62,43,43,52,44,87,91,89,86,79,90,54,45,53,,,,,,,,,False
955,Ali Marpet,24291,89,31,C,73,86,71,83,89,60,78,79,87,55,42,35,35,42,45,39,36,39,35,45,45,35,42,36,35,48,35,35,60,39,39,39,41,48,34,35,34,37,35,86,89,84,,,,,,,,,True
956,Sterling Shepard,24395,89,42,WR,89,67,92,90,84,87,90,88,88,47,32,30,30,37,46,36,32,37,32,37,37,74,57,82,78,60,77,80,73,88,85,85,86,39,39,38,36,40,37,65,52,57,No,Yes,No,Yes,Yes,,,,True
957,Matt Ryan,1018028325,89,38,QB,68,58,65,74,87,66,49,83,90,65,59,58,58,63,65,60,60,61,58,63,63,58,66,75,69,70,66,72,71,58,58,59,60,85,90,84,85,84,88,61,60,65,,,,,,,,,True
958,Avery Williamson,28533,89,32,MLB,84,78,75,89,89,70,78,87,88,92,86,76,67,89,90,89,74,78,74,37,37,31,56,41,47,50,44,39,56,31,57,56,41,44,31,32,31,34,32,54,54,85,,,,,,No,No,Conservative,True
959,Travis Kelce,1018000890,89,34,TE,80,76,81,82,85,85,86,78,74,56,32,35,35,51,53,32,30,32,28,48,45,25,79,73,83,84,73,80,70,84,87,86,83,72,71,69,64,59,42,81,77,77,Yes,No,Yes,Yes,Yes,,,,True
960,Joe Staley,24343,89,33,LT,74,86,74,83,91,66,76,89,86,40,28,25,25,36,39,25,26,26,25,33,33,25,25,36,25,25,25,25,65,49,47,39,55,31,24,25,24,28,25,89,85,90,,,,,,,,,True
961,Sheldon Rankins,28561,89,32,LE,72,86,78,83,84,61,83,80,87,89,87,89,79,88,89,84,55,61,48,45,45,40,54,43,46,50,45,44,58,43,57,57,47,48,40,41,40,43,41,54,50,88,,,,,,No,No,,True
962,Robert Woods,28568,89,45,WR,91,56,88,88,88,87,89,90,91,52,33,30,30,47,47,37,34,37,47,39,37,74,61,78,76,61,77,77,70,85,87,92,86,44,42,41,39,41,36,68,56,62,No,Yes,Yes,No,Yes,,,,True
963,Tyron Smith,1018010653,89,31,LT,71,86,74,82,88,70,68,79,77,65,54,50,50,63,63,50,50,50,50,56,54,50,50,54,50,50,50,50,69,60,66,61,54,60,50,50,50,51,50,85,88,87,,,,,,,,,True
964,Marcus Cannon,1018010665,89,30,RT,58,85,62,72,88,46,23,66,79,50,53,37,37,43,50,45,41,38,37,43,44,37,37,44,37,37,37,37,56,37,37,38,41,40,36,37,36,39,37,89,88,84,,,,,,,,,True
965,Rodney Harrison,21118,89,37,SS,87,78,86,90,87,59,78,92,85,86,88,67,69,78,89,87,75,88,70,20,20,52,68,63,61,82,56,68,57,15,56,54,20,30,20,20,15,15,15,45,45,88,,,,,,Yes,Yes,Balanced,True
966,Trey Flowers,24322,89,34,LE,75,85,67,86,86,57,83,78,90,88,82,91,79,88,88,86,48,52,53,52,52,41,62,49,47,65,49,49,62,41,48,50,45,55,41,41,41,43,41,60,60,91,,,,,,No,No,,True
967,Joe Thomas,1303027901,89,31,LT,67,88,70,75,89,57,69,88,91,59,53,56,49,53,65,49,38,38,38,44,46,38,38,47,38,38,38,38,62,47,49,47,56,40,37,38,37,39,38,83,89,89,,,,,,,,,False
968,Greg Olsen,1303027929,89,34,TE,80,65,78,82,91,88,83,90,86,58,44,44,44,65,61,44,39,40,40,48,45,36,77,77,84,76,68,80,78,88,88,88,86,44,43,40,37,42,38,75,81,74,Yes,Yes,Yes,Yes,Yes,,,,False
969,Lane Johnson,1303000927,89,32,RT,77,83,74,85,88,71,78,82,86,71,70,65,72,68,67,51,40,45,39,48,46,39,73,57,70,67,65,67,72,59,73,72,64,76,74,72,70,72,57,88,88,88,,,,,,,,,False
970,Reggie White,21096,89,32,LE,77,89,74,84,92,55,74,90,90,87,82,87,80,84,84,92,36,41,36,20,20,15,65,35,50,75,35,30,54,15,50,39,20,25,10,10,10,10,10,45,45,86,,,,,,Yes,No,,True
971,Kawann Short,1018001112,89,33,DT,64,81,63,79,88,58,65,71,87,88,79,88,79,90,88,88,51,63,42,42,42,39,53,42,49,50,42,39,58,42,42,42,44,42,39,39,39,41,39,61,61,90,,,,,,No,No,,True
972,Adam Vinatieri,1018001323,89,27,K,50,34,51,52,82,59,23,88,82,46,33,31,31,46,38,43,35,36,31,85,89,31,31,43,31,31,31,31,52,36,36,36,38,45,50,48,44,43,42,37,41,37,,,,,,,,,True
973,Franco Harris,26531,89,42,FB,85,86,82,89,86,81,88,90,91,54,48,25,25,35,40,25,20,25,25,25,25,43,87,62,87,87,86,81,88,76,85,83,71,45,46,44,40,43,28,79,71,77,Yes,No,No,No,Yes,,,,False
974,Randy Moss,26527,89,55,WR,91,55,87,90,85,88,91,90,90,34,15,10,10,40,40,29,13,27,15,20,15,52,54,84,89,77,86,86,65,88,84,92,87,50,20,15,10,15,15,36,30,36,No,Yes,Yes,Yes,Yes,,,,False
975,Ronnie Lott,26528,89,38,SS,88,79,89,90,84,74,89,90,88,86,89,71,62,80,87,84,75,84,80,22,20,35,78,59,87,80,75,77,70,35,60,65,52,35,15,10,10,15,15,55,45,81,,,,,,Yes,No,Aggressive,False
976,Calvin Johnson,26529,89,53,WR,87,69,88,88,84,89,92,90,85,34,15,10,10,45,47,17,12,22,15,15,15,26,72,87,86,82,87,90,65,85,82,91,87,35,15,15,10,10,10,60,40,61,Yes,Yes,Yes,Yes,Yes,,,,False
977,Michael Strahan,26530,89,33,LE,77,89,76,81,87,59,71,85,88,79,79,89,83,88,85,87,38,49,30,20,20,15,63,42,30,62,48,32,48,20,58,47,20,20,15,15,10,15,15,45,45,79,,,,,,No,Yes,,False
978,Bo Jackson,26526,89,53,HB,89,88,89,90,84,66,89,93,82,56,40,25,25,40,40,30,25,25,25,64,51,73,92,85,88,92,88,92,87,59,61,53,65,70,62,56,42,55,50,55,63,53,Yes,No,No,No,No,,,,False
979,Jerrell Freeman,1018011801,89,32,MLB,76,68,74,78,90,80,72,85,84,91,87,80,72,89,91,90,83,87,76,54,54,46,69,59,62,63,59,57,66,49,63,62,56,59,48,49,48,49,49,66,66,90,,,,,,Yes,Yes,Balanced,True
980,Ndamukong Suh,1018009858,89,31,DT,66,91,76,77,84,60,74,85,85,84,88,86,76,85,84,84,51,60,49,68,56,41,49,49,51,49,54,51,60,42,51,49,49,51,40,41,40,42,41,60,60,85,,,,,,Yes,No,,True
981,Sean Lee,1018009909,89,28,ROLB,78,72,77,84,91,79,69,86,75,90,87,78,77,85,91,91,82,87,70,49,49,45,58,49,53,58,47,56,68,47,69,67,48,53,44,45,44,46,45,65,65,88,,,,,,Yes,No,Aggressive,True
982,Marshall Faulk,21014,89,41,HB,87,68,88,88,86,82,82,89,88,38,25,10,10,21,29,32,13,16,25,36,25,75,77,88,86,73,88,89,87,81,81,77,77,45,15,15,15,15,15,35,55,42,Yes,No,No,No,Yes,,,,True
983,Larry Allen,21108,89,31,LG,53,89,55,66,87,30,45,82,90,30,20,25,10,17,12,20,17,18,10,32,35,10,22,15,14,25,10,10,40,15,15,15,15,25,5,5,5,5,5,89,87,89,,,,,,,,,True
984,Chris Jones,24060,89,34,RE,70,87,73,83,88,48,70,78,88,90,85,90,76,90,90,88,44,53,40,34,34,30,47,34,39,43,35,34,48,34,47,47,35,38,30,31,30,34,31,49,36,90,,,,,,No,No,,True
985,Michael Crabtree,24055,89,39,WR,86,71,84,88,88,86,89,92,81,50,31,29,29,47,43,41,35,31,29,38,39,43,76,80,84,78,85,85,75,87,86,89,89,39,35,32,29,35,30,65,50,60,Yes,Yes,Yes,Yes,Yes,,,,True
986,Shannon Sharpe,21529,89,33,TE,87,78,87,91,88,87,87,91,87,54,33,20,20,46,53,20,20,20,20,20,20,35,81,79,81,86,79,83,78,85,88,82,84,25,20,20,15,15,15,77,63,68,Yes,No,No,No,Yes,,,,True
987,Christian Okoye,21153,89,35,FB,80,84,75,85,94,64,75,79,92,65,55,25,25,40,40,25,20,20,20,20,20,22,89,70,91,91,73,76,89,61,61,56,60,35,25,25,20,20,20,84,77,84,Yes,No,No,No,No,,,,True
988,Richie Incognito,1303026622,89,32,LG,68,87,51,74,90,46,39,83,82,42,41,29,29,41,41,46,34,31,33,28,28,29,29,34,29,29,29,29,53,33,33,33,36,33,28,29,28,32,29,86,88,90,,,,,,,,,False
989,LeSean McCoy,1303020093,89,47,HB,86,61,91,87,89,78,85,85,74,46,39,31,31,42,52,33,34,33,39,32,39,44,73,91,91,77,92,91,87,84,80,77,83,45,51,49,40,40,38,53,57,54,No,No,No,No,No,,,,False
990,Alex Mack,1303020067,89,32,C,60,86,58,76,90,43,15,82,91,41,36,28,28,40,45,37,26,30,28,36,33,28,58,32,62,60,39,39,63,32,32,32,36,34,27,28,27,30,28,90,84,89,,,,,,,,,False
991,Malcolm Butler,1303002318,89,36,CB,84,53,87,83,90,76,82,80,83,76,76,53,57,58,76,90,90,90,87,48,42,56,35,66,68,47,71,72,65,41,58,61,39,42,34,35,34,36,35,58,58,67,,,,,,No,No,Aggressive,False
992,Jonathan Ogden,21550,89,32,LT,59,90,66,77,88,26,51,88,87,54,63,20,20,25,25,25,20,20,15,20,20,15,43,22,15,34,23,21,40,21,32,18,15,20,20,20,15,15,15,88,87,85,,,,,,,,,True
993,Bobby Wagner,1018011567,89,32,MLB,82,68,79,83,89,79,86,88,86,90,90,80,74,88,90,89,74,82,59,45,45,39,55,47,52,63,42,52,67,42,42,42,42,49,38,39,38,42,39,60,60,88,,,,,,Yes,No,Aggressive,True
994,Blake Bortles,28519,89,37,QB,79,69,79,82,82,64,80,90,93,39,32,31,31,35,38,39,33,36,31,51,44,36,64,75,75,55,70,72,68,44,45,48,43,87,85,84,81,86,81,41,38,33,,,,,,,,,True
995,Devin McCourty,1018009925,89,33,FS,84,49,85,85,90,84,87,88,87,78,75,51,59,72,87,90,84,89,82,43,44,79,47,79,59,45,81,81,62,37,59,66,38,48,33,33,33,36,33,59,59,74,,,,,,No,Yes,Aggressive,True
996,Jordan Poyer,28540,89,34,SS,87,65,85,92,87,80,82,89,86,79,71,62,64,64,89,87,86,90,86,45,45,69,45,56,65,38,69,69,74,50,67,78,41,48,35,35,35,37,35,56,56,75,,,,,,No,No,Balanced,True
997,C.J. Mosley,24034,89,31,MLB,81,64,83,86,90,78,82,89,80,89,86,77,69,89,90,90,78,81,65,45,45,39,54,60,66,60,57,60,74,43,69,71,51,47,38,39,38,41,39,60,60,89,,,,,,Yes,Yes,Aggressive,True
998,Dontari Poe,26028,89,34,DT,73,93,73,82,86,60,77,89,88,89,88,85,72,85,86,86,52,57,50,53,51,47,72,53,61,56,49,51,64,50,52,52,51,56,55,54,51,49,47,75,64,92,,,,,,Yes,No,,True
999,Kareem Hunt,27006,89,46,HB,90,78,90,92,80,74,88,88,88,45,33,27,27,37,39,30,28,37,32,33,30,62,83,86,80,86,84,90,88,74,73,70,65,35,36,34,32,43,38,54,60,56,Yes,No,No,No,No,,,,True
1000,Bryan Bulaga,27007,89,34,RT,62,86,67,77,91,45,43,85,80,50,52,39,39,48,52,43,40,40,39,40,40,39,39,52,39,39,39,39,59,43,43,43,44,39,38,39,38,41,39,84,91,90,,,,,,,,,True
1001,Larry Little,21041,89,31,RG,66,86,69,72,91,39,51,84,91,49,50,15,15,20,45,25,20,20,15,20,20,15,15,15,15,15,15,15,39,15,15,15,15,35,10,10,10,10,10,89,85,87,,,,,,,,,True
